date,content
195,절대 이용하지 마세요 당일 갑작스럽게 숙박을 이용 못하는데 당일 취소는 절대 안 되고 취소하고 싶으면 수수료를 전액으로 내야 한다는데 말이 됩니까 아니 계획이 변경될 수도 있는 데다 신이요 안 함 그리고 사진이랑 숙소랑 완전히 다름
196,뭔렉부터 신용 카트 결제 장애까지 가지가지 네
197,가끔 이용하는데 좋은 거 같아요
198,미친 거 아니면 알림 해제했는데 계속 쳐 보내네
199,아직 예약 상태이나 무료 예약 취소도 가능하며 캐시백까지 되는 매우 만족한 진행을 할 수 있습니다 그런데 명을 위한 트윈베드를 예약했는데 왜 인원 초과라고 나오는지는 이해할 수 없었습니다
200,사용하지 마세요 결제하고 왔는데 호텔에서 예약 못 받았다고 하고 해결은 늦고 진짜 최악이네요
201,시설은 괜찮으나 위치가 좀 찾으려면 좀 고생해야 합니다
202,저렴한 가격에 만족
203,빠르고 쉬운 예약 시스템이 최고
204,예약에서 결제하려는 데 계속 오류가 나요 며칠째 결제가 안 되네요 해결법을 알려주세요
205,아고다 정직하게 인포 해주고 가격도 아주 만족하네요
206,어디를 검색해도 여기가 대부분 젤루싸요
207,친절하고 깨끗해요 모든 것이 만족스럽습니다
208,최고의 숙박 어플
209,가격이 수시로 바뀌어서 머리가 아프다
210,아주 편하고 좋아요
211,결제 쉽고 저렴하고 내가 찾고 있는 스타일에 숙소가 검색되어 편리함
212,아고다와 익스피디아에 문제점 결제 오류 환불 불가능 모든 건 고객이 책임져야 한다 조금 더 지불하더라도 호텔 사이트 이용하세요
213,가격은 최고예요
214,무료 변경과 캐시백 기능이 좋아요
215,다른 해외 숙소 예약 어플들이랑 다르게 편리하네요
216,Very Good
217,구성비 좋아요
