date,date,content
161,161,캐시백 리워드 좋아요
162,162,리워드받기정말어렵다캐쉬백쓰기곤란하게만들었다특가라는상품으로예약취소환불이안되게만든것들이많아잘살펴야한다쉽게클릭하면안된다군데군데함정이있다싱가폴에회사를둬서소비자보호받기어렵다국내상담센터도없다어플내에상담내역도예약에만일부안내된다약관도회사가절대유리하게해놓고이메일도한국어로선택한고객이라도한국어지원안한다피해본것을하소연할곳도없다특가예약모르고클릭하면취소못하고환불도못하고날림주의리워드도일부카드로만받을수있고주문한카드외에다른카드를요구하기도하고최대한까다롭게만듦절대비추천리워드도너무오래걸려까먹게만듦숙소체크아웃후일이후에나신경겁나게써야겨우받게만들고바로리워드만료처리하기도하니신경엄청써야자동리워드는절대안해준다일짜리단체방개개따로결재한것중개만요청되고개는만원리워드만료로나옴
163,163,내용이 잘 표시되어 있긴 한데 방 크기가 거의 표시 안 되어있고 객실 사진이 없어 결정할 때 좀 불편하네요
164,164,빠른 결제방식이 좋습니다
165,165,뷰가 좋을듯합니다
166,166,금액 낚시질 너무 싫어 요리 워드 포인트 바로 지급도 안되고 유효기간도 엄청 짧은데 그거 받을 경우 얼마라고 나오는 건 좀 아니지 않나 싶어요
167,167,금악이 변하긴 하는데 왜 일가요
168,168,며칠 동안 로그인이 되지 않습니다 로그인되었습니다라는 문구가 떴다가도 죄송하다는 말이 뜨면서 로그인이 되지 않습니다고 글로 그린 이메일 로그인 휴대폰 로그인 전부 안됩니다
169,169,thisistheworstexperienceevertheyoverbookedmyreservationAndwhyaretheysoconfidentoftheroverbookingIcanneverunderstandtheattitudeyouserveIhaveruinedmydayandwastetaxifeesforthisincomprehensiblesituationTheonlythingyoucangivemeissucharefundIcannotstandforthispoorserviceIconsistbettercompensationcallmeback
170,170,저렴합니다 빠르고 정확합니다
171,171,verygood
172,172,잘 사용했습니다
173,173,다른 어플보다 훨씬 쌈
174,174,인터페이스가 거지 같음
175,175,최악입니다이거사용하지마세요조식미포함만원이길래조식포함으로만원결제했는데나중에결제내역에도조식내용이안나와서원래안나오는건가보다하고당일에호텔에서확인한결과조식포함이안되어있어서식사를못하고나왔습니다고객센터에문의한결과증거를내밀어라라고하기만할뿐문제없다고같은소리반복합니다어플로다음주그담주그그담주금액을확인해도조식포함가격은만원이고조식미포함이만원입니다당연히저희가간날도성수기가아닌평범한주말이였고요일부러상담원연결안되게해서문의를줄이려는건지고객센터도기본분이상대기해야되고기술적문제를확인한증거를고객한테내밀면서문제없다고해야하는거아닌가요문제해결대처도아무것도모르는알바상담원데리고하는거같고대처방식이참납득이안되네요고작만원잘아껴서기술보안이나하든가하세요어플후기보니까문제많은거같던데
176,176,좋게 사용하고 있습니다
177,177,해외 숙소에 약 이 편하고 다른 사이트보다 저렴한 경우가 많습니다
178,178,카드번호 입력할 때 자꾸 숫자 하나만 입력하면 키패드가 사라져 버립니다
179,179,아고 다 문제가 많네요 예약한 거 수정 좀 하려하다 병 생기는 줄 알았습니다 결국 포기하고 대충 다녀오는 걸로 아고 다 가 이런 걸 노리는 건가 상담은 로봇이 고통화는 아예 없음 미치는 줄 그리고 예약번호 뭐 이런 건 확인을 할 수 있게 하든지 문자라도 주시든지 예약도 숙소한 화해서 예약된 거 확인했어요 로그인 자체가 안 되니 답답합니다
180,180,아이들이랑 이틀째 머물고 있는데 방도 넓고 무엇보다 욕실이 맘에 드네요 직원분들도 친절하시고 주변에 식당도 많고 편 세 권에 교통도 편리 매우 만족합니다 하루 더 있어야 해서 바로 연장 들어갑니다
181,181,예약이 편리하고 좋아요
182,182,내가 예약한 호텔에 대해서 취소하려는데 이미 제 카드번호랑 결제예정일이 있는 메일은 뜨는데 예약관리하기 차에 들어가면 예약이 없다고 함 이대로 돈이 빠져나갈 거 같은데 예약번호에 대한 확인 부탁드립니다
183,183,저렴하고 좋은데 저번에 예약하고 갔는데 안 되잇나고 말도 안 통하는 외국에서 싸웠네요 다시 한번 믿어볼게요
184,184,한국 숙소 예약은 현재 아고 다 가 현재 제일 잘 되어있는 것 같음
185,185,항상 불편 없이 이용 중입니다
186,186,최고의 호텔 사이트입니다 오랫동안 꾸준히 이용하네 가격도 혜택을 많이 받고 있는 것 같아요
187,187,다양한 곳 알려줘서 편해요
188,188,여행에는 아고 다 가 역시 최고
189,189,아고다자체는훌륭함아고다프리미엄플래티넘등급으로예약하면정말싼가격으로예약할수있음다만PC로구글을통해예약했을때가제일쌈모바일로PC처럼구글을통해같은경로로예약하려면좀더비싸짐그래서앱은그냥예약확인용or리워드청구용으로만씀모바일앱웹로구글통해아고다로들어왔을시PC와동일한금액으로예약되었으면좋겠음
190,190,아니 예약관리 앱에서 안 들어가죠요 예약번호 확인해야 되는데
191,191,예약관리 조회를 누르면 오류가 뜹니다
192,192,최악 별점 주기도 아까움
193,193,예약 후 그와 업무 요청 시 계속 오류 남 상담원 연결도 안 됨
194,194,메일에서 비번 수정했는데 휴대폰 앱 로그인 시계 속 오류 뜹니다 어떻게 해야 하나요
195,195,절대 이용하지 마세요 당일 갑작스럽게 숙박을 이용 못하는데 당일 취소는 절대 안 되고 취소하고 싶으면 수수료를 전액으로 내야 한다는데 말이 됩니까 아니 계획이 변경될 수도 있는데 다신 이용 안 함 그리고 사진이랑 숙소랑 완전히 다름
196,196,뭔렉부터신용카트결제장애까지가지가지네
197,197,가끔 이용하는 데 좋은 거 같아요
198,198,미친 거 아니면 알림 해제했는데 계속 쳐 보내네
199,199,아직 예약 상태이나 무료 예약 취소도 가능하며 캐시백까지 되는 매우 만족한 진행을 할 수 있습니다 그런데 명을 위한 트윈베드를 예약했는데 왜 인원 초과라고 나오는지는 이해할 수 없었습니다
200,200,사용하지 마세요 결제하고 왔는데 호텔에서 예약 못 받았다고 하고 해결은 늦고 진짜 최악이네요
201,201,시설은괜잖으나위치가좀찾을려면좀고생해야합니다
202,202,저렴한 가격에 만족
203,203,빠르고 쉬운 예약 시스템이 최고
204,204,예약에서 결제하려는데 계속 오류가 나 요 며칠째 결제가 안 되네요 해결법을 알려주세요
205,205,아고 다 정직하게 인포 해주고 가격도 아주 만족하네요
206,206,어디를 검색해도 여기가 대부분 제일 싸요
207,207,친절하고 깨끗해요 모든 것이 만족스럽습니다
208,208,최고의 숙박 어플
209,209,가격이 수시로 바뀌어서 머리가 아프다
210,210,아주 편하고 좋아요
211,211,결제 쉽고 저렴하고 내가 찾고 있는 스타일에 숙소가 검색되어 편리함
212,212,아고 다와 익스피디아에 문제점 결제 오류 환불 불가능 모든 건 고객이 책임져야 한다 조금 더 지불하더라도 호텔 사이트 이용하세요
213,213,가격은 최고예요
214,214,무료 변경과 캐시백 기능이 좋아요
215,215,다른 해외 숙소에 약 어플들이랑 다르게 편리하네요
216,216,VeryGood
217,217,구성비 좋아요
218,218,아고다어플사용하기불편함쿠폰써지는지만볼려고숙소에서결제클릭하고최종결제창뜨면취소할려고했는데최종결제창뜨지도않고그냥바로예약되버리네요예약된숙소에전화해서취소되냐물어보니깐안된다하네요예약이라방문안해도자동결제된다고함흔히들아는예약이라는단어뜻이아닌예약결제줄임말인듯이런사기성같은어플처음보네지인들한테도이어플쓰지말라고해야겠네요
219,219,절대여기어플로하지마세요환불을요청시왜해야되는지작성해야되고전화도안받습니다환불을안해줄려고해요호텔들은바로해준다고하는데고생했습니다개노답어플
220,220,결제 튕겨서 다시 들어가니까 가격 올라있네요
221,221,저렴하게 잘 이용하고 있어요
222,222,간단히 예약할 수 있어서 너무 좋아요 아고 다포 에버
223,223,reallygood
224,224,여행할 때 숙소 예약하기 편리해요
225,225,늘 아이들과 여행 때 아고다를 자주 사용합니다
226,226,최악의 앱 글로벌 본사와 한국지사 또한 국지 사간의 직원들도 소통이 안돼서 매번 CS 직원에게 새로 설명해야 하나 못 알아듣고 같은 질문 번복 고객 전송용 이메일을 복사해서 친절한 문구지만 이상한 정보와 오류투성이 내용이고 예약한 호텔과도 소통 부재로 해결이 불가
227,227,매력적인 안내 고맙습니다
228,228,합리적인 가격에 좋은 숙소 정보를 제공합니다
